coord_lat,coord_lon,temp,feels_like,temp_min,temp_max,humidity,wind_speed,wind_deg,clouds_all,rain_1h
36,140,291.88,292.16,291,292.18,90,1.95,357,100,
36,140,291.88,292.16,291,292.18,90,1.95,357,100,
36,140,291.52,291.68,290.29,292.18,87,2.22,324,100,
36,140,293.77,294.19,292.25,295.51,88,2.06,260,75,
36,140,300.05,299.71,297.11,301.45,35,4.1,307,80,
36,140,292.54,291.53,290.51,293.68,38,10.43,327,0,
36,140,290.77,289.63,289.4,292.05,40,8.84,321,3,
36,140,295.82,294.82,294.29,297.57,26,7.89,303,0,
36,140,298.8,298.13,296.29,300.9,27,7.72,290,20,
36,140,293.93,293.06,290.44,295.34,38,7.66,318,5,
36,140,291.35,290.27,285.29,293.12,40,4.5,331,62,
36,140,295.68,294.75,294.23,297.55,29,3.46,336,14,
36,140,299.31,299.31,294.29,300.34,25,2.63,61,37,
36,140,292.74,291.93,289.4,294.79,45,1.74,18,68,
36,140,290.68,289.87,281.29,291.45,53,1.69,12,90,
36,140,295,294.28,293.68,297,40,2.59,54,100,
36,140,294.16,293.49,292.29,294.4,45,4.7,83,91,1.13
36,140,290.79,290.25,289.29,291.58,63,2.55,356,100,
36,140,288.83,288.67,287.02,289.79,85,3.79,15,100,0.38
36,140,288.93,289.07,288.11,290.51,96,5.38,26,100,1.78
36,140,290.66,290.97,289.24,292.18,96,3.87,15,100,0.42
36,140,290.37,290.47,289.33,291.07,89,4.02,317,100,0.11
36,140,290.31,290.48,289.78,291.07,92,4.11,316,100,0.68
36,140,294.62,294.99,293.12,297.02,83,1.03,0,75,
36,140,299.95,300.44,298.29,300.47,51,0.48,268,87,
36,140,293.01,292.93,289.29,294.79,72,1.81,359,1,
36,140,291.46,291.12,286.29,293.68,68,2.54,325,28,
36,140,294.54,293.78,292.34,295.91,40,2.95,8,89,
36,140,298.64,298.11,294.29,299.78,33,3.41,53,93,
36,140,293.21,292.81,289.4,295.9,59,2.44,49,100,
36,140,290.6,289.94,287.34,292.56,59,2.2,26,92,
36,140,294.6,294.13,293.34,296.46,51,2.39,50,37,
36,140,296.59,296.24,294.29,297.14,48,3.85,105,61,
36,140,292.94,292.62,287.29,295.9,63,2.99,61,100,
36,140,290.4,290.03,287.18,292.56,71,2.09,17,28,
36,140,294.42,293.62,293.34,295.91,39,2.42,6,0,
36,140,297.38,296.49,294.29,298.69,24,2.8,65,36,
36,140,290.56,289.74,288.34,292.6,53,0.96,45,23,
36,140,290.15,289.34,283.29,290.34,55,1.67,327,52,
36,140,292.72,291.7,291.45,294.4,37,1.64,245,95,
36,140,296.05,295.57,295.11,296.58,45,4.06,185,57,
36,140,294.72,294.53,288.29,296.45,61,3.86,176,100,
36,140,289.6,289.26,288.67,291.07,75,2.26,264,100,1.54
36,140,288.32,288.4,287.28,289.79,96,5.08,345,100,2.05
36,140,290.62,290.72,289.29,291.45,88,4.33,315,100,
36,140,290.54,290.5,286.29,292.56,83,2.09,257,0,
36,140,288.5,287.92,284.29,290.34,70,2.91,298,0,
36,140,294.77,294.21,294.11,295.94,47,2.09,314,0,
36,140,299.44,299.44,296.29,299.8,35,1.03,183,0,
36,140,294.23,294.2,287.29,296.45,69,1.44,175,2,
36,140,290.82,290.76,286.29,293.12,81,2.05,319,0,
36,140,295.66,295.45,294.29,297.11,57,1.26,356,0,
36,140,299.6,299.6,295.29,300.91,36,1.5,55,0,
36,140,292.81,292.14,289.34,295.34,50,0.71,214,0,
36,140,290.64,289.88,283.29,292.01,55,2.01,338,0,
36,140,294.69,294.07,293.11,296.07,45,0.94,12,29,
36,140,297.78,297.71,295.29,298.25,54,3.31,135,43,
36,140,292.35,292.13,289.29,294.27,69,0.94,131,100,
36,140,291.42,291.44,287.29,293.68,82,0.47,134,56,
36,140,295.92,295.66,295.11,297.57,54,2.01,233,100,
36,140,298.65,298.4,297.11,299.24,44,3.72,179,100,
36,140,295.19,295.09,292.11,297.01,63,5.18,201,100,
36,140,292.29,292.04,289.34,293.68,68,3.82,229,23,
36,140,297.38,297.09,295.9,299.92,47,6.94,219,1,
36,140,298.36,298.53,297.34,299.36,61,9.77,190,40,
36,140,296.81,296.51,295.29,297.6,49,3.49,292,9,
36,140,294.02,293.86,291,295.34,65,2.52,103,69,
36,140,294.61,293.96,291.29,294.79,44,2.77,61,50,
36,140,295.88,295.2,292.29,296.03,38,3.55,145,83,
36,140,290.58,289.68,285.29,292.56,50,3.93,9,100,
36,140,286.72,285.44,281.29,288.68,50,3.7,27,49,
36,140,291.28,290.04,289.29,292.18,34,1.12,168,60,
36,140,293.76,292.74,291.29,294.78,33,4.33,196,13,
36,140,291.57,290.83,286.29,293.12,52,2.07,154,99,
36,140,289.2,288.45,281.29,289.23,61,2.09,7,82,
36,140,291.68,290.66,290.34,293.29,41,2.34,339,81,
36,140,296.7,296,293.11,297.69,34,2.11,73,68,
36,140,292.16,291.79,285.29,294.23,64,1.64,46,6,
36,140,288.39,287.95,283.29,289.79,76,1.99,350,8,
36,140,293.54,293.12,293.11,295.29,57,2.09,358,61,
36,140,296.89,296.34,294.29,298.25,39,1.71,65,16,
36,140,292.71,292.6,287.29,295.34,72,2.06,83,33,
36,140,290.1,289.99,285.29,291.45,82,1.47,31,71,
36,140,294.37,294.11,292.11,295.51,60,1.59,349,49,
36,140,296.2,295.87,294.11,297.01,50,1.74,33,91,
36,140,291.63,291.41,288.29,292.56,72,1.91,341,32,0.31
36,140,288.74,288.18,284.29,290.34,70,2.07,326,10,
36,140,293.49,292.65,293.12,294.4,41,1.96,342,0,
36,140,297.71,296.9,294.11,298.67,26,1.51,20,0,
36,140,292.51,291.86,286.29,295.34,52,2.21,121,73,
36,140,290.26,289.7,284.29,292.01,64,1.38,105,61,
36,140,294.35,293.88,292.6,296.44,52,1.87,113,5,
36,140,296.73,295.98,294.29,298.22,32,2.73,183,0,
36,140,292.09,291.66,286.29,294.23,62,1.89,51,9,
36,140,289.22,288.79,284.29,290.9,73,1.5,7,11,
36,140,290.53,290.62,288.25,294.29,88,2.57,300,75,0.18
36,140,295.28,294.88,292.34,297.11,51,2.79,43,49,
36,140,291.24,290.88,285.29,293.68,68,1.26,350,31,
36,140,289.59,288.99,285.34,290.9,65,2.1,329,39,
36,140,290.16,289.87,287.11,291.46,75,2.07,296,100,0.49
36,140,292.97,292.65,289.89,295.91,63,2.57,300,75,
36,140,289.74,288.81,287.18,291.45,52,2.55,336,22,
36,140,288.12,287.11,282.29,289.23,55,2.33,311,9,
36,140,292.79,291.96,291.45,294.78,44,0.53,334,0,
36,140,295.86,295.28,293.29,296.46,42,2.13,86,0,
